,Name,Stocktype,Mileage_(Miles),Price,Ext_color,Int_color,Transmission,Body_style,Model_Year,Car_Age_Year,Car_Make,Car_Model,Car_Trim
2913,2008 Lexus IS 250,Used,"99,716 mi.",13991,Silver,Gray,Automatic,Sedan,2008-01-01,12.47,Lexus,IS,250
2914,2011 Subaru Outback 2.5i Limited,Used,"111,776 mi.",11991,Silver,Black,CVT,SUV,2011-01-01,9.47,Subaru,Outback,Limited
2915,2008 Subaru Forester Sports 2.5 X,Used,"92,294 mi.",9991,Gray,Gray,Automatic,SUV,2008-01-01,12.47,Subaru,Forester,X
2916,2018 Chevrolet Cruze LT,Used,"44,613 mi.",12987,Blue,Black,Automatic,Sedan,2018-01-01,2.46,Chevrolet,Cruze,LT
2917,2019 Nissan Versa S,Used,"22,589 mi.",12243,Blue,Black,Automatic,Sedan,2019-01-01,1.46,Nissan,Versa,S
2918,2018 Chevrolet Malibu LT,Used,"37,427 mi.",14999,Red,Black,Automatic,Sedan,2018-01-01,2.46,Chevrolet,Malibu,LT
2919,2017 Chevrolet Trax LT,Used,"38,594 mi.",14388,Orange,Black,Automatic,SUV,2017-01-01,3.46,Chevrolet,Trax,LT
2920,2019 Nissan Versa 1.6 SV,Used,"21,228 mi.",12298,Black,Black,CVT,Sedan,2019-01-01,1.46,Nissan,Versa,SV
2921,2019 Nissan Versa S,Used,"20,678 mi.",12498,Silver,Black,Manual,Sedan,2019-01-01,1.46,Nissan,Versa,S
2922,2019 Ford Fiesta SE,Used,"14,902 mi.",12695,Black,Black,Manual,Sedan,2019-01-01,1.46,Ford,Fiesta,SE
2923,2019 Ford Fiesta SE,Used,"16,596 mi.",12594,White,Black,Manual,Sedan,2019-01-01,1.46,Ford,Fiesta,SE
2924,2018 Kia Optima LX,Used,"33,034 mi.",14665,Red,Beige,Automatic,Sedan,2018-01-01,2.46,Kia,Optima,LX
