,Name,Stocktype,Mileage (Miles),Price,Ext_color,Int_color,Transmission,Drivetrain
2647,2014 Kia Soul Base,Used,"80,618 mi.","$10,998",Gray,Black,Automatic,FWD
2648,2004 Chrysler PT Cruiser Touring,Used,"66,879 mi.","$4,495",Silver,Gray,Automatic,FWD
2649,2004 Lexus RX 330,Used,"150,000 mi.","$5,999",Gray,Black,Automatic,FWD
2650,2009 Subaru Outback 2.5i Special Edition,Used,"143,848 mi.","$7,250",Gray,Black,Automatic,AWD
2651,2017 Toyota Corolla EDITION,Used,"65,918 mi.","$14,585",Silver,Black,CVT,FWD
2652,2012 Audi A3 2.0T Premium,Used,"83,203 mi.","$12,599",Gray,Black,Automatic,FWD
2653,2008 Subaru Impreza WRX,Used,"132,023 mi.","$12,977",Blue,Black,Manual,AWD
2654,2011 Toyota Prius IV,Used,"164,000 mi.","$6,500",Red,Beige,Automatic,FWD
2655,2002 Dodge Grand Caravan Sport,Used,"193,725 mi.","$2,775",White,Beige,Automatic,FWD
2656,2010 Subaru Forester 2.5X,Used,"103,920 mi.","$10,490",Silver,Gray,Automatic,AWD
2657,2008 Chevrolet Avalanche LTZ,Used,"147,629 mi.","$12,995",White,Gray,Automatic,drive
2658,2009 Hyundai Accent GS,Used,"135,970 mi.","$3,000",Silver,Gray,Automatic,FWD
2659,2014 Volkswagen Jetta TDI,Used,"65,900 mi.","$11,000",Gray,Black,Automatic,Unknown
2660,2009 Toyota Yaris,Used,"134,000 mi.","$6,995",Blue,Black,Automatic,FWD
2661,2018 Hyundai Accent SE,Used,"28,485 mi.","$13,599",Black,Black,Automatic,FWD
2662,2006 Jeep Commander Limited,Used,"170,298 mi.","$6,977",Red,Other,Automatic,drive
2663,2003 Dodge Durango SLT,Used,"116,239 mi.","$6,977",Silver,Other,Automatic,drive
2664,2012 RAM 1500 SLT,Used,"178,893 mi.","$11,747",Silver,Gray,Automatic,drive
2665,2008 Honda Civic EX,Used,"215,000 mi.","$3,000",Silver,Other,Manual,FWD
2666,2001 Ford Escape XLT 4WD,Used,"141,253 mi.","$4,495",Silver,Gray,Automatic,drive
2667,1999 Ford Crown Victoria LX,Used,"82,949 mi.","$4,477",White,Other,Automatic,RWD
2668,2001 Ford F-150 SVT Lightning Flareside,Used,"80,374 mi.","$14,977",Silver,Other,Automatic,RWD
2669,2016 Ford Escape SE,Used,"71,190 mi.","$14,998",White,Other,Automatic,drive
2670,2009 Land Rover Range Rover Sport HSE,Used,"177,672 mi.","$8,995",Blue,Other,Automatic,drive
2671,2005 Saab 9-2X Linear,Used,"160,732 mi.","$2,500",Other,Other,Unknown,AWD
2672,1994 Toyota Pickup DX,Used,"123,340 mi.","$5,988",Green,Gray,Automatic,RWD
2673,2014 Kia Rio LX,Used,"65,189 mi.","$7,998",Red,Beige,Automatic,FWD
2674,2017 Ford Fusion SE,Used,"36,656 mi.","$13,998",Black,Black,Automatic,FWD
2675,2013 Volkswagen Passat 2.0 TDI SEL Premium,Volkswagen Certified,"51,360 mi.","$12,575",Gray,Other,Automatic,FWD
2676,2003 Honda Civic EX,Used,"221,718 mi.","$3,688",Silver,Black,Automatic,FWD
2677,2013 Toyota Prius Five,Used,"118,979 mi.","$12,599",Gray,Gray,CVT,FWD
2678,2007 Scion tC Base,Used,"96,743 mi.","$6,491",Gray,Black,Manual,FWD
2679,2004 Toyota 4Runner SR5,Used,"212,212 mi.","$7,750",Gold,Beige,Automatic,drive
2680,2006 Jeep Liberty Sport,Used,"163,870 mi.","$3,977",Blue,Other,Automatic,drive
2681,2003 Chevrolet Malibu Base,Used,"211,768 mi.","$1,500",Gray,Beige,Automatic,FWD
2682,2007 Honda Accord SE,Used,"114,253 mi.","$7,477",Silver,Other,Manual,FWD
2683,2012 Chevrolet Silverado 1500 LT,Used,"139,063 mi.","$11,995",White,Gray,Automatic,drive
2684,2018 Toyota Yaris iA,Used,"44,197 mi.","$14,987",Gray,Black,Automatic,FWD
2685,2003 Ford Explorer XLT,Used,"188,575 mi.","$3,000",Other,Other,Automatic,drive
2686,2002 Ford Explorer Sport Trac,Used,"148,005 mi.","$7,995",Green,Beige,Automatic,drive
2687,2006 Toyota Sienna XLE,Used,"162,760 mi.","$6,900",White,Gray,Automatic,AWD
2688,2004 Honda Civic EX,Used,"179,464 mi.","$4,250",Silver,Gray,Automatic,FWD
2689,1997 Ford Explorer XLT,Used,"153,045 mi.","$7,999",Green,Other,Automatic,drive
2690,2012 Volkswagen Jetta SportWagen 2.0 TDI,Volkswagen Certified,"51,995 mi.","$12,971",White,Black,Manual,FWD
2691,2014 Ford Escape SE,Used,"101,479 mi.","$9,995",Silver,Black,Automatic,drive
2692,2000 Dodge Dakota,Used,"213,000 mi.","$2,977",Other,Other,Automatic,drive
2693,2006 Ford Mustang GT,Used,"135,739 mi.","$9,977",Blue,Other,Automatic,RWD
2694,2000 Chevrolet Astro,Used,"156,124 mi.","$5,977",Blue,Other,Automatic,AWD
2695,2007 Ford Ranger XL,Used,"191,479 mi.","$4,998",White,Gray,Automatic,RWD
2696,2013 Volkswagen Passat 2.0 TDI SE w/ Sunroof,Used,"108,000 mi.","$7,950",White,Black,Automatic,AWD
